ID,Text_sp,Text,Source,clickbait_score,pol_score,Image_Url,Cat1_HQ,Cat2_HQ_Pol,Cat,CatPol
759,sean hannitys new mansion plain disgusting,Sean Hannity's New Mansion is Just Plain Disgusting!,90skidsonly,9029.157758954196,659.7558448486469,'background-image: url('//img.revcontent.com/?url=https://revcontent-p0.s3.amazonaws.com/content/images/15331366720885215482.jpeg&static=true&pos=face&h=315&w=420&static=true&fmt=jpeg'); height: 172px;',0,0,0,1
478,schwarzenegger politics sucks,'Schwarzenegger: Politics 'sucks',CNN Video,0.16909424223290478,649.0152323018033,https://images.outbrainimg.com/transform/v3/eyJpdSI6Ijc4NDg2M2M0YTc1ZTgyM2RlNmIxZmI1YTFiOWE3OGU0YjliNDlkOGM3Y2QzZjI5MWUwMDg4OTcxZDM5OGJiYTMiLCJ3Ijo0MDAsImgiOjI0MCwiZCI6MS41LCJjcyI6MCwiZiI6MH0.jpg,0,1,0,1
66,gut doctor i beg americans throw vegetable now,'Gut Doctor 'I Beg Americans To Throw Out This Vegetable Now',healthnewsregular.com,27972200796.825867,9.197485900466529e-11,https://images.outbrainimg.com/transform/v3/eyJpdSI6IjkzNmUxOTI4NDAwYzNmMjJmNDJiNzU0MmFmZTNjMzc4ODZkZTA3YjI4OGVjZGZiOWRkODMzMzA3NDRiMTU3YzAiLCJ3Ijo1MDAsImgiOjMwMCwiZCI6MS4wLCJjcyI6MCwiZiI6MH0.webp,0,0,1,0
1440,gut doctor i beg americans throw vegetable now,'Gut Doctor: 'I Beg Americans To Throw Out This Vegetable Now',(www.unhealthpublications.com),27972200796.825867,9.197485900466529e-11,https://images.outbrainimg.com/transform/v3/eyJpdSI6ImU5MmVlYWEyOWI0NThlNTVlMmFkNzg3ZGI4MWI4MTZkODdhMGY0YWU0MTgzMTliMmNlYTQzNjM4NjUzNzY2MjkiLCJ3IjozMjAsImgiOjIyMCwiZCI6MS41LCJjcyI6MCwiZiI6MH0.webp,0,0,1,0
43,gut doctor begs us throw vegetable now,'Gut Doctor Begs US 'Throw Out This Vegetable Now',landers.unitednaturals.com,16614806593.075006,3.407641359223414e-10,https://images.outbrainimg.com/transform/v3/eyJpdSI6IjE3ZTQxMzRlMTNkYmUxYWZkOGQ0MTZiNGEyYjQ0ZDM2M2VjN2E0YjczZTQwNmY2OTA3M2U5ZjlmZmVhYTNlYjYiLCJ3Ijo0MDAsImgiOjI0MCwiZCI6MS41LCJjcyI6MCwiZiI6MH0.webp,0,0,1,0
1822,one cup tonight burn belly fat like crazy,One Cup of This (Tonight) Will Burn Your Belly Fat Like Crazy,Flat Belly Revolution,12596104953.561367,3.185107724632689e-11,'background-image: url('//img.revcontent.com/?url=https://revcontent-p0.s3.amazonaws.com/content/images/15287998940104733732.jpg&static=true&pos=face&h=315&w=420&static=true&fmt=jpeg'); height: 172px;',0,0,1,0
1709,top gut doctor beg americans throw vegetable,Top Gut Doctor: I Beg All Americans To Throw Out This Vegetable,www.dr-pedre-md.com,11332831814.25434,2.546554283468075e-10,https://images.outbrainimg.com/transform/v3/eyJpdSI6IjAwZDNkYzg0M2IxMzE0MzRhNzdiYmEyNzYxZmMxOTQ5YjVhOGM5MDQ2MTA3YTE3MTU5OWY3Y2I3NjkxNGZmZjEiLCJ3IjozOTAsImgiOjM0MCwiZCI6MS41LCJjcyI6MCwiZiI6NH0.webp,0,0,1,0
675,gallery chilling note written possessed nun finally translated,[Gallery] A Chilling Note Written By A Possessed Nun In 1676 Has Finally Been Translated,(Scribol),3798798063.504561,9.187466522604609e-08,https://images.outbrainimg.com/transform/v3/eyJpdSI6IjFjNGJlYjZiN2Y1YTBkMGFkOWE1NWY5ZWI3YzBjZmI5NDA5N2QxM2VkNWY4OWMwN2VhN2UyMWRlYjBiODAxYzAiLCJ3IjozODUsImgiOjI0MCwiZCI6MS41LCJjcyI6MCwiZiI6MH0.jpg,0,0,1,0
676,photos old camera found deep ocean reveals horrifying titanic photos,[Photos] Old Camera Found In The Deep Ocean Reveals Horrifying Titanic Photos.,(Coolimba),2404260663.5698714,5.949280649198118e-08,https://images.outbrainimg.com/transform/v3/eyJpdSI6ImQyM2I3M2FlM2U1NzE0ZTBkOWI3ZTk1NGFiZmVlNzUzMTEzNmNjMGQ5ZWFhZGQ0YjI0MDlkNGQxYzc5OWQ3OGQiLCJ3IjozODUsImgiOjI0MCwiZCI6MS41LCJjcyI6MCwiZiI6MH0.jpg,0,0,1,0
532,new tinnitus discovery leaving doctors baffled,New Tinnitus Discovery Is Leaving Doctors Baffled,Healthnewstips.today,1925148622.570612,9.433263766502596e-06,https://images.outbrainimg.com/transform/v3/eyJpdSI6ImJkM2VmNmQ3NzkzZTc5ODcxNjkwYzgyNGMzNWEzODNiMTQzOGI1ZmEzODcyZTY5MzNlMWNmMTkyZDM5NTFhZTQiLCJ3IjozMzYsImgiOjI1MiwiZCI6MS41LCJjcyI6MCwiZiI6MH0.jpg,0,0,1,0
